symbol,date,open,high,low,close,volume,provider
TSLA,2025-10-24T00:00:00+0000,446.83,451.68,430.17,433.72,94727774.0,marketstack
NVDA,2025-10-25,183.835,187.47,183.5,186.26,,finnhub
NFLX,2025-10-25,1111.0,1114.51,1094.41,1094.69,,finnhub
AMZN,2025-10-25,221.97,225.4,221.9,224.21,,finnhub
GOOG,2025-10-25,257.3,262.51,256.1,260.51,,finnhub
ADBE,2025-10-25,357.21,358.1,353.29,353.52,,finnhub
CRM,2025-10-25,257.42,258.5,254.0,254.83,,finnhub
META,2025-10-25,736.79,741.21,731.15,738.36,,finnhub
MSFT,2025-10-25,522.79,525.345,520.71,523.61,,finnhub
AAPL,2025-10-25,261.19,264.13,259.18,262.82,,finnhub
